Year(Decimal),Monthly_Average,Deseasonalized_Average
1958.2027,315.71,314.44
1958.2877,317.45,315.16
1958.3699,317.51,314.69
1958.4548,317.27,315.15
1958.537,315.87,315.2
1958.6219,314.93,316.21
1958.7068,313.21,316.11
1958.789,312.42,315.41
1958.874,313.33,315.21
1958.9562,314.67,315.43
1959.0411,315.58,315.52
1959.126,316.49,315.84
1959.2027,316.65,315.37
1959.2877,317.72,315.42
1959.3699,318.29,315.46
1959.4548,318.15,316
1959.537,316.54,315.87
1959.6219,314.8,316.09
1959.7068,313.84,316.75
1959.789,313.33,316.34
1959.874,314.81,316.69
1959.9562,315.58,316.35
1960.041,316.43,316.38
1960.1257,316.98,316.33
1960.2049,317.58,316.27
1960.2896,319.03,316.7
1960.3716,320.03,317.19
1960.4563,319.58,317.45
1960.5383,318.18,317.54
1960.623,315.9,317.22
1960.7077,314.17,317.1
1960.7896,313.83,316.85
1960.8743,315,316.89
1960.9563,316.19,316.96
1961.0411,316.89,316.84
1961.126,317.7,317.05
1961.2027,318.54,317.25
1961.2877,319.48,317.16
1961.3699,320.58,317.73
1961.4548,319.77,317.61
1961.537,318.56,317.89
1961.6219,316.79,318.09
1961.7068,314.99,317.92
1961.789,315.31,318.34
1961.874,316.1,318
1961.9562,317.01,317.78
1962.0411,317.94,317.89
1962.126,318.55,317.89
1962.2027,319.68,318.39
1962.2877,320.57,318.24
1962.3699,321.02,318.16
1962.4548,320.62,318.45
1962.537,319.61,318.94
1962.6219,317.4,318.71
1962.7068,316.24,319.18
1962.789,315.42,318.46
1962.874,316.69,318.59
1962.9562,317.7,318.47
1963.0411,318.74,318.69
1963.126,319.07,318.41
1963.2027,319.86,318.57
1963.2877,321.38,319.05
1963.3699,322.24,319.38
1963.4548,321.49,319.31
1963.537,319.74,319.07
1963.6219,317.77,319.07
1963.7068,316.21,319.16
1963.789,315.99,319.03
1963.874,317.07,318.98
1963.9562,318.35,319.13
1964.041,319.57,319.52
1964.1257,320.04,319.37
1964.2049,320.75,319.41
1964.2896,321.84,319.46
1964.3716,322.25,319.37
1964.4563,321.89,319.73
1964.5383,320.44,319.79
1964.623,318.69,320.03
1964.7077,316.71,319.67
1964.7896,316.87,319.93
1964.8743,317.68,319.59
1964.9563,318.71,319.49
1965.0411,319.44,319.38
1965.126,320.44,319.79
1965.2027,320.89,319.59
1965.2877,322.14,319.79
1965.3699,322.17,319.28
1965.4548,321.87,319.68
1965.537,321.21,320.53
1965.6219,318.87,320.18
1965.7068,317.82,320.78
1965.789,317.3,320.37
1965.874,318.87,320.79
1965.9562,319.42,320.2
1966.0411,320.62,320.57
1966.126,321.6,320.94
1966.2027,322.39,321.08
1966.2877,323.7,321.34
1966.3699,324.08,321.18
1966.4548,323.75,321.55
1966.537,322.37,321.69
1966.6219,320.36,321.68
1966.7068,318.64,321.61
1966.789,318.1,321.18
1966.874,319.78,321.71
1966.9562,321.02,321.81
1967.0411,322.33,322.28
1967.126,322.5,321.83
1967.2027,323.03,321.72
1967.2877,324.41,322.05
1967.3699,325,322.09
1967.4548,324.09,321.89
1967.537,322.54,321.86
1967.6219,320.92,322.24
1967.7068,319.25,322.24
1967.789,319.39,322.48
1967.874,320.73,322.66
1967.9562,321.96,322.74
1968.041,322.57,322.51
1968.1257,323.15,322.48
1968.2049,323.89,322.55
1968.2896,325.02,322.63
1968.3716,325.57,322.66
1968.4563,325.36,323.17
1968.5383,324.14,323.48
1968.623,322.11,323.46
1968.7077,320.33,323.33
1968.7896,320.25,323.34
1968.8743,321.32,323.26
1968.9563,322.89,323.68
1969.0411,324,323.95
1969.126,324.41,323.75
1969.2027,325.63,324.31
1969.2877,326.66,324.28
1969.3699,327.38,324.46
1969.4548,326.71,324.49
1969.537,325.88,325.19
1969.6219,323.66,324.99
1969.7068,322.38,325.38
1969.789,321.78,324.89
1969.874,322.85,324.8
1969.9562,324.11,324.91
1970.0411,325.06,325.01
1970.126,325.99,325.31
1970.2027,326.93,325.61
1970.2877,328.13,325.75
1970.3699,328.08,325.15
1970.4548,327.67,325.44
1970.537,326.34,325.65
1970.6219,324.68,326.02
1970.7068,323.1,326.11
1970.789,323.06,326.18
1970.874,324.01,325.96
1970.9562,325.13,325.93
1971.0411,326.17,326.12
1971.126,326.69,326.01
1971.2027,327.18,325.85
1971.2877,327.78,325.39
1971.3699,328.93,325.99
1971.4548,328.57,326.34
1971.537,327.36,326.67
1971.6219,325.43,326.77
1971.7068,323.36,326.38
1971.789,323.56,326.69
1971.874,324.8,326.75
1971.9562,326.01,326.81
1972.041,326.77,326.71
1972.1257,327.63,326.96
1972.2049,327.75,326.39
1972.2896,329.72,327.3
1972.3716,330.07,327.12
1972.4563,329.09,326.87
1972.5383,328.04,327.38
1972.623,326.32,327.69
1972.7077,324.84,327.88
1972.7896,325.2,328.33
1972.8743,326.5,328.46
1972.9563,327.55,328.35
1973.0411,328.55,328.49
1973.126,329.57,328.89
1973.2027,330.3,328.97
1973.2877,331.5,329.1
1973.3699,332.48,329.52
1973.4548,332.07,329.83
1973.537,330.87,330.18
1973.6219,329.31,330.66
1973.7068,327.52,330.56
1973.789,327.19,330.33
1973.874,328.17,330.13
1973.9562,328.65,329.45
1974.0411,329.36,329.3
1974.126,330.71,330.03
1974.2027,331.49,330.15
1974.2877,332.65,330.24
1974.375,333.19,330.22
1974.4583,332.2,329.79
1974.5417,331.07,330.21
1974.625,329.15,330.54
1974.7083,327.33,330.44
1974.7917,327.28,330.53
1974.875,328.31,330.5
1974.9583,329.58,330.55
1975.0417,330.73,330.84
1975.125,331.46,330.85
1975.2083,331.94,330.37
1975.2917,333.11,330.53
1975.375,333.95,330.98
1975.4583,333.42,331.01
1975.5417,331.97,331.12
1975.625,329.95,331.33
1975.7083,328.49,331.6
1975.7917,328.36,331.61
1975.875,329.38,331.57
1975.9583,330.76,331.73
1976.0417,331.56,331.67
1976.125,332.74,332.13
1976.2083,333.36,331.79
1976.2917,334.74,332.16
1976.375,334.72,331.75
1976.4583,333.97,331.56
1976.5417,333.08,332.23
1976.625,330.68,332.07
1976.7083,328.96,332.07
1976.7917,328.72,331.98
1976.875,330.16,332.35
1976.9583,331.62,332.59
1977.0417,332.68,332.77
1977.125,333.17,332.58
1977.2083,334.96,333.4
1977.2917,336.14,333.54
1977.375,336.93,334
1977.4583,336.17,333.79
1977.5417,334.89,334.01
1977.625,332.56,333.91
1977.7083,331.29,334.36
1977.7917,331.28,334.51
1977.875,332.46,334.68
1977.9583,333.6,334.58
1978.0417,334.94,335.01
1978.125,335.26,334.6
1978.2083,336.66,335
1978.2917,337.69,335.07
1978.375,338.02,335.08
1978.4583,338.01,335.6
1978.5417,336.5,335.65
1978.625,334.42,335.87
1978.7083,332.36,335.51
1978.7917,332.45,335.72
1978.875,333.76,335.99
1978.9583,334.91,335.87
1979.0417,336.14,336.22
1979.125,336.69,336
1979.2083,338.27,336.56
1979.2917,338.82,336.11
1979.375,339.24,336.24
1979.4583,339.26,336.83
1979.5417,337.54,336.69
1979.625,335.72,337.2
1979.7083,333.97,337.19
1979.7917,334.24,337.57
1979.875,335.32,337.59
1979.9583,336.81,337.83
1980.0417,337.9,338.13
1980.125,338.34,337.85
1980.2083,340.07,338.51
1980.2917,340.93,338.31
1980.375,341.45,338.4
1980.4583,341.36,338.85
1980.5417,339.45,338.56
1980.625,337.67,339.07
1980.7083,336.25,339.38
1980.7917,336.14,339.4
1980.875,337.3,339.46
1980.9583,338.29,339.26
1981.0417,339.29,339.42
1981.125,340.55,339.98
1981.2083,341.63,340.08
1981.2917,342.6,339.98
1981.375,343.04,339.97
1981.4583,342.54,340.06
1981.5417,340.82,339.92
1981.625,338.48,339.87
1981.7083,336.95,340.17
1981.7917,337.05,340.39
1981.875,338.57,340.75
1981.9583,339.91,340.85
1982.0417,340.93,341.09
1982.125,341.76,341.16
1982.2083,342.78,341.18
1982.2917,343.96,341.32
1982.375,344.77,341.67
1982.4583,343.88,341.43
1982.5417,342.42,341.61
1982.625,340.24,341.64
1982.7083,338.37,341.56
1982.7917,338.41,341.77
1982.875,339.44,341.59
1982.9583,340.78,341.71
1983.0417,341.57,341.75
1983.125,342.78,342.25
1983.2083,343.37,341.85
1983.2917,345.4,342.76
1983.375,346.14,342.97
1983.4583,345.76,343.3
1983.5417,344.32,343.56
1983.625,342.51,343.89
1983.7083,340.46,343.59
1983.7917,340.53,343.86
1983.875,341.79,343.92
1983.9583,343.2,344.12
1984.0417,344.21,344.32
1984.125,344.92,344.39
1984.2083,345.68,344.26
1984.2917,347.38,344.75
1984.375,347.77,344.59
1984.4583,347.16,344.73
1984.5417,345.79,345.02
1984.625,343.74,345.12
1984.7083,341.59,344.76
1984.7917,341.86,345.19
1984.875,343.31,345.41
1984.9583,345,345.88
1985.0417,345.48,345.59
1985.125,346.41,345.92
1985.2083,347.91,346.56
1985.2917,348.66,346.08
1985.375,349.28,346.12
1985.4583,348.65,346.23
1985.5417,346.9,346.08
1985.625,345.26,346.57
1985.7083,343.47,346.59
1985.7917,343.35,346.6
1985.875,344.73,346.82
1985.9583,346.12,347.04
1986.0417,346.78,346.82
1986.125,347.48,346.98
1986.2083,348.25,346.93
1986.2917,349.86,347.29
1986.375,350.52,347.42
1986.4583,349.98,347.61
1986.5417,348.25,347.43
